English	Japanese	Product	Chapter	Sequence
Tutorial 2: Draw and edit in AutoCAD WS 2011	チュートリアル 2: AutoCAD WS で作図と編集 2011	acad	tut2a	58610
Audience: Users new to AutoCAD WS	対象: ユーザは AutoCAD WS に新しい	acad	tut2a	58611
Prerequisites: None	前提条件なし	acad	tut2a	58612
In This Tutorial	このチュートリアルの内容	acad	tut2a	58613
Please complete the lessons in this tutorial in order.	を参照してください。 このチュートリアルのレッスンを完了します。	acad	tut2a	58614
The earlier lessons include information that is needed in the later lessons.	前のレッスンには、後のレッスンで必要な情報が含まれています。	acad	tut2a	58615
In this tutorial, you learn how to do the following:	このチュートリアルでは、次の内容を学習します。	acad	tut2a	58616
Draw Objects 	作図オブジェクト	acad	tut2a	58617
Use the Command Line	コマンドライン	acad	tut2a	58618
Modify Object Properties	[オブジェクトプロパティ]	acad	tut2a	58619
Lesson 1: Draw Objects	レッスン 1: 描画オブジェクト	acad	tut2a	58620
In this lesson, you will learn how to draw, select and delete objects.	このレッスンでは、選択するオブジェクトを作図する方法を学習します。	acad	tut2a	58621
In addition, you will learn how to change view mode.	また、表示モードを変更する方法について学習します。	acad	tut2a	58622
Currently AutoCAD WS does not support the creation of a new drawing without a pre-existing file.	現在、AutoCAD WS の既存のファイルを使用せずに新しい図面の作成をサポートしていません。	acad	tut2a	58623
Open a file before starting to draw.	描画を開始する前にファイルを開きます。	acad	tut2a	58624
To draw a line	線分を描画するには	acad	tut2a	58625
1 Click Home ➤ Open ➤ My Drawings, then select AEC Plan Elev Sample.dwg.	[図面] ➤ [1、[Home] ➤ 開いて sample.dwg 標高 AEC プランを選択します。	acad	tut2a	58626
2 In the Editor menu, click Draw ➤ Line Tool.	[編集] メニューから、[表示] ➤ [線分] ツールにします。	acad	tut2a	58627
3 Drag the mouse down to the sample drawing.	3 は、サンプル図面にマウスをドラッグします。	acad	tut2a	58628
A crosshairs cursor appears with a text box.	は、クロスヘアカーソルをテキストボックスで表示されます。	acad	tut2a	58629
This is known as the “Specify first point” dynamic prompt.	ダイナミックプロンプトは、[1 番目の点と呼ばれます。	acad	tut2a	58630
4 In the sample drawing, click the mouse to pick a start point for your first line.	サンプル図面では 4 つで、最初の線分の始点を指定するには、マウスをクリックします。	acad	tut2a	58631
The dynamic prompt changes to “Specify distance”.	距離を指定するには、ダイナミックプロンプトが変わります。	acad	tut2a	58632
5 Drag the cursor in any direction and click to pick the end point of your line.	5、線分の終点をクリックしていずれかの方向でカーソルをドラッグします。	acad	tut2a	58633
You have drawn your first line!	最初の線分の作図は完了です。	acad	tut2a	58634
To select and delete a single line	1 つの線分を選択して削除するには	acad	tut2a	58635
Before you learn how to draw other objects, select and delete the line you just drew.	他のオブジェクトを作成し、線分を作図する方法を学習します。	acad	tut2a	58636
1 Click Draw ➤ Select.	1 をクリックして、[選択] ➤ をクリックします。	acad	tut2a	58637
2 Use the window selection box to select the line.	2 つの線分を選択するには、窓選択ボックスを使用します。	acad	tut2a	58638
Move the cursor above and to the left of the line.	上の線分の左端にカーソルを移動します。	acad	tut2a	58639
3 Click and hold down the mouse button as you drag to the right and down to form a selection box around the line.	3 をクリックして、右側の線分の周囲に選択ボックスをドラッグしてマウスボタンを押したままにします。	acad	tut2a	58640
4 Click the mouse.	4 をクリックします。	acad	tut2a	58641
You know the line is selected when the following appears:	表示される線分と次の選択であることが分かります。	acad	tut2a	58642
5 Click the Erase button on the Toolbar at the top of the window.	5 ウィンドウの上部のツールバーの [削除] ボタンをクリックします。	acad	tut2a	58643
You have learned how to select a single line and delete it.	1 つの線分を選択して削除する方法を学習しました。	acad	tut2a	58644
To draw a polyline	ポリラインを描くには	acad	tut2a	58645
