English	Korean	Product	Chapter	Sequence
Tutorial 2: Draw and edit in AutoCAD WS 2011	튜토리얼 2: 그리기 및 편집 AutoCAD WS 2011	acad	tut2a	68738
Audience: Users new to AutoCAD WS	대상: 사용자가 새 AutoCAD WS	acad	tut2a	68739
Prerequisites: None	사전 요구사항:	acad	tut2a	68740
In This Tutorial	이 튜토리얼에서는	acad	tut2a	68741
Please complete the lessons in this tutorial in order.	이 자습서의 단원 완료하십시오.	acad	tut2a	68742
The earlier lessons include information that is needed in the later lessons.	이전 단원에는 단원에 필요한 정보가 담겨 있습니다.	acad	tut2a	68743
In this tutorial, you learn how to do the following:	이 자습서에서는 다음과 같은 내용을 배우게 됩니다.	acad	tut2a	68744
Draw Objects 	객체 그리기	acad	tut2a	68745
Use the Command Line	명령행을 사용하여	acad	tut2a	68746
Modify Object Properties	객체 특성 수정	acad	tut2a	68747
Lesson 1: Draw Objects	학습 1: 객체 그리기	acad	tut2a	68748
In this lesson, you will learn how to draw, select and delete objects.	이 단원에서는 그리는 방법을 배웁니다, 선택 및 객체 삭제.	acad	tut2a	68749
In addition, you will learn how to change view mode.	또한 변경하는 방법을 배웁니다 뷰 모드입니다.	acad	tut2a	68750
Currently AutoCAD WS does not support the creation of a new drawing without a pre-existing file.	현재 AutoCAD WS에서 지원하지 않는 새 없이 기존 도면 파일.	acad	tut2a	68751
Open a file before starting to draw.	파일 열기 그리기를 시작합니다.	acad	tut2a	68752
To draw a line	선을 그리려면	acad	tut2a	68753
1 Click Home ➤ Open ➤ My Drawings, then select AEC Plan Elev Sample.dwg.	1 홈 &submenu; 열기 &submenu; 내 도면 를 선택한 다음 AEC ###평면 ELEV sample.dwg.	acad	tut2a	68754
2 In the Editor menu, click Draw ➤ Line Tool.	2 편집기 메뉴에서 그리기 &submenu; 선 도구를 클릭합니다.	acad	tut2a	68755
3 Drag the mouse down to the sample drawing.	3 마우스 아래 샘플 도면.	acad	tut2a	68756
A crosshairs cursor appears with a text box.	십자선 커서가 표시됩니다.	acad	tut2a	68757
This is known as the “Specify first point” dynamic prompt.	이 탭은 "첫 번째 점 지정" 동적 프롬프트.	acad	tut2a	68758
4 In the sample drawing, click the mouse to pick a start point for your first line.	4 샘플 도면 마우스를 클릭하여 선택 첫 번째 선의 시작점을 선택합니다.	acad	tut2a	68759
The dynamic prompt changes to “Specify distance”.	동적 프롬프트가 "으로 바뀝니다 거리 지정" 을 참고하십시오.	acad	tut2a	68760
5 Drag the cursor in any direction and click to pick the end point of your line.	5 커서를 원하는 방향으로 끈 다음 클릭하여 선의 끝점을 선택합니다.	acad	tut2a	68761
You have drawn your first line!	첫 번째 선을 다 그렸습니다!	acad	tut2a	68762
To select and delete a single line	선 하나를 선택하여 삭제하려면	acad	tut2a	68763
Before you learn how to draw other objects, select and delete the line you just drew.	그리는 방법을 배우기 전에 다른 객체, 선을 선택하여 방금 그린.	acad	tut2a	68764
1 Click Draw ➤ Select.	1 그리기를 클릭하고 &submenu; 선택합니다.	acad	tut2a	68765
2 Use the window selection box to select the line.	2 창 선택 상자에서 선을 선택합니다.	acad	tut2a	68766
Move the cursor above and to the left of the line.	커서를 위와 왼쪽에 있습니다.	acad	tut2a	68767
3 Click and hold down the mouse button as you drag to the right and down to form a selection box around the line.	3 클릭하고 마우스 버튼을 누른 채 드래그하여 오른쪽 아래로 이동하여 양식 주변에 선택 상자를 선택합니다.	acad	tut2a	68768
4 Click the mouse.	4 마우스를 클릭합니다.	acad	tut2a	68769
You know the line is selected when the following appears:	알고 선을 선택한 다음 나타납니다.	acad	tut2a	68770
5 Click the Erase button on the Toolbar at the top of the window.	5 지우기 도구 모음의 버튼을 창의 맨 위에 있습니다.	acad	tut2a	68771
You have learned how to select a single line and delete it.	다음과 같은 작업을 하는 방법을 배웠습니다 단일 선 및 삭제합니다.	acad	tut2a	68772
To draw a polyline	폴리선을 그리려면	acad	tut2a	68773
A polyline is a sequence of segments created as a single object.	폴리선이 일련의 작성된 세그먼트에 단일 오브젝트를 선택합니다.	acad	tut2a	68774
Polylines can contain both straight and curved segments.	폴리선은 직선 및 곡선 세그먼트가 모두 포함될 수 있습니다.	acad	tut2a	68775
In this lesson, you learn how to draw a polyline with straight segments.	이 단원에서는 폴리선을 그리는 방법을 배웁니다 직선 세그먼트가 있습니다.	acad	tut2a	68776
1 Click Open.	1 열기를 클릭합니다.	acad	tut2a	68777
2 In the Upload files dialog box, select bolt_add_polyline.dwg.	2에 파일 업로드 대화상자에서 bolt_add_polyline.dwg.	acad	tut2a	68778
3 In this lesson, you will finish the side view drawing of a bolt by adding polylines.	3이 단원에서는 마침 측면 뷰 도면에 폴리선을 추가하여 볼트의.	acad	tut2a	68779
4 Click Draw ➤ Polyline.	4 그리기를 클릭하고 &submenu; 폴리선.	acad	tut2a	68780
5 Drag the cursor down to the bolt drawing and go to the location indicated in the following figure:	5 커서를 아래로 볼트 도면 및 위치로 이동하여 표시된 다음 그림:	acad	tut2a	68781
6 Click on that location.	6을 클릭하여 해당 위치에 있습니다.	acad	tut2a	68782
This is the first point of the polyline.	이 옵션은 폴리선의 첫 번째 점입니다.	acad	tut2a	68783
7 Drag the cursor to the location indicated by the colored square in the following figure:	7 커서를 끌어 채색된 사각형이 표시된 위치로 다음 그림:	acad	tut2a	68784
8 Click near the center of the colored square.	8 근처를 클릭하여 채색된 사각형의 중심.	acad	tut2a	68785
You have drawn the first line in the polyline.	첫 번째 선을 그렸습니다 폴리선.	acad	tut2a	68786
9 Drag the cursor to the location indicated by the colored square in the following figure:	9 커서를 끌어 채색된 사각형이 표시된 위치로 다음 그림:	acad	tut2a	68787
10 Click near the center of the colored square.	10 근처를 클릭하여 채색된 사각형의 중심.	acad	tut2a	68788
You have drawn the second line in the polyline.	두 번째 선을 그렸습니다 폴리선.	acad	tut2a	68789
11 Drag the cursor to the location indicated by the colored square in the following figure:	11 커서를 끌어 채색된 사각형이 표시된 위치로 다음 그림:	acad	tut2a	68790
12 Click near the center of the colored square.	12 근처를 클릭하여 채색된 사각형의 중심.	acad	tut2a	68791
You have drawn the third line in the polyline.	세 번째 선을 그렸습니다 폴리선.	acad	tut2a	68792
13 Press the Enter key to end the polyline.	13 Enter 키를 눌러 폴리선을 종료합니다.	acad	tut2a	68793
14 Click Home ➤ Save, and save the drawing as Drawing1.dwg.	14 홈 &submenu; 저장 및 도면을 Drawing1.dwg.	acad	tut2a	68794
To draw a circle	원을 그리려면	acad	tut2a	68795
In this lesson, you learn how to draw a circle by specifying the center point and radius.	이 단원에서는 원을 그리는 방법을 배웁니다 중심점과 반지름을 지정하여.	acad	tut2a	68796
1 With Drawing1.dwg open, click Draw ➤ Circle.	1 Drawing1.dwg 열려 있으면 그리기 &submenu; 원을 클릭합니다.	acad	tut2a	68797
2 Drag the crosshairs cursor down to the drawing area.	2 십자선을 끌고 커서를 아래로 도면 영역에 있습니다.	acad	tut2a	68798
3 Click the left mouse button to specify the center of the circle.	3 마우스 왼쪽 버튼을 클릭하여 원의 중심점을 지정합니다.	acad	tut2a	68799
4 The dynamic input prompt asks you to “Specify distance.”	4 동적 입력 메시지가 표시됩니다. “거리 지정 " 을 참고하십시오.	acad	tut2a	68800
Enter 0.25 from the keyboard and press the Enter key to create a circle with a radius of 0.25.	Enter 0.25 from 키보드에서 Enter 키를 눌러 원 작성 반지름 0.25 입니다.	acad	tut2a	68801
5 Click Home ➤ Save, and save the drawing as Drawing1.dwg.	5 홈 &submenu; 저장 및 도면을 Drawing1.dwg.	acad	tut2a	68802
You will use this file in Lesson 3.	에서 이 파일을 사용하게 됩니다. 학습 3	acad	tut2a	68803
Using PhysX in 3ds Max	PhysX 3ds Max 사용	physx	using1	68898
The following pages are part of {557}Using PhysX in 3ds Max{558}:	다음 페이지 일부가 {557} 사용 PhysX 3ds Max {558}:	physx	using1	68899
An introduction the ways you interact with the plug-in in 3ds Max.	소개 방법을 상호 작용할 때 플러그인은 3ds Max.	physx	using1	68900
{559} Rigid Bodies & Constraints{560}	{559} 강체 및 제약 조건 {560}	physx	using1	68901
Working with blocks, balls, and more complex non-deforming objects hooked together.	블록 관련 작업에 공, 더 복잡한 non-deforming 오브젝트를 연결할 수 있습니다.	physx	using1	68902
The convenience commands and helper available for working with boned characters.	이 편의를 위해 명령 및 도우미 사용 가능한 작업 골격 자입니다.	physx	using1	68903
Realistic cloth constrained and colliding with characters.	실제 의상 구속 및 충돌 문자로 채웁니다.	physx	using1	68904
Tools for seeing more about the simulation than just its effects.	도구 확인하는 데 대한 자세한 정보는 시뮬레이션 외에 해당 효과를 적용할 수 있습니다.	physx	using1	68905
{561} Baking PhysX Simulation Results{562}	{561} 굽기 PhysX 시뮬레이션 결과 {562}	physx	using1	68906
Moving your PhysX and APEX simulations into keyframes that 3ds Max understands.	움직이는 PhysX 및 APEX 시뮬레이션 에 있는 키프레임 3ds Max 인식합니다.	physx	using1	68907
The Plug-in Interface	플러그인 인터페이스	physx	using1	68908
The PhysX Toolbar	PhysX 도구 모음	physx	using1	68909
The PhysX Menu	PhysX 메뉴	physx	using1	68910
Simulation Controls	시뮬레이션 컨트롤	physx	using1	68911
Physical Material Editor	물리적 재질 편집기	physx	using1	68912
Ragdolls	ragdolls	physx	using1	68913
Rigid Bodies & Constraints	강체 및 제약 조건	physx	using1	68914
The PhysX Tools panel	PhysX 도구 패널	physx	using1	68915
Basics	기본 사항	physx	using1	68917
Introduction	소개	physx	using1	68918
Overview	개요	physx	using1	68919
The most obvious way to interact with the PhysX plug-in via the PhysX Toolbar.	가장 쉬운 방법은 상호 작용할 PhysX 플러그인 via the MassFX 도구 모음.	physx	using1	68920
